분반,수업,교수,구분,학년,시간,학점
04512-01,동양의지혜와윤리,박수지,중핵,전체,수6~8(N409),3
03843-01,동양철학의전통,김성희,중핵,전체,금6~8(N211),3
03842-01,서양철학의전통,박승찬,중핵,전체,"월6(N318), 수4~5(N318)",3
03844-01,신화와철학,김길수,중핵,전체,월5~7(N308),3
03844-02,신화와철학,홍진후,중핵,전체,월2~4(N308),3
03844-03,신화와철학,김선영,중핵,전체,금2~4(N308),3
06066-01,초보자를위한철학책읽기와토론,최민영,중핵,1,"화7~8(N311), 목7(N311)",3
04612-01,"학문,인간,윤리",윤단비,중핵,전체,목6~8(V313),3
04511-01,현대사회와윤리적문제들,김진아,중핵,전체,목2~4(N412),3
01630-01,철학의흐름,김길수,전기,전체,월1~3(N208),3
06859-01,노장철학,백민정,전선1,4,"화7(M302), 목7~8(M302)",3
03499-01,논리적분석과응용,김광식,전선1,2,수7~9(K254),3
03504-01,도(道)와로고스,김성희,전선1,2,금2~4(M410),3
06857-01,서양철학명저산책,전석빈,전선1,3,"화9(M305), 목8~9(M305)",3
03501-01,심리와감성,,전선1,4,목4~6(N112),3
03510-01,앎과진리,임경헌,전선1,2,월1~3(N307),3
01463-01,역사철학,임경헌,전선1,4,수2~4(N113),3
03508-01,윤리적사고와응용,홍진후,전선1,4,월7~9(K247),3
01457-01,중세철학사,박승찬,전선1,2,"월7(K243), 수6~7(K243)",3
04873-01,철학교재연구및지도법,윤단비,전선1,3,금5~7(M406),3
05051-01,철학기초문헌연습,박수지,전선1,2,수2~4(K258),3
06856-01,철학의쟁점들과철학적글쓰기,김진아,전선1,4,화2~4(N119),3
02793-01,플라톤철학,최민영,전선1,2,"화9(N112), 목8~9(N112)",3
01084-01,한국철학,백민정,전선1,3,"화4~5(V111), 목4(V111)",3
01462-01,현대철학사,신승환,전선1,3,"화6(M211), 목5~6(M211)",3
01460-01,형이상학,신승환,전선1,3,"금5~6(M301), 월8(M301)",3
05762-01,NCS직업기초역량실무,허광영,자교,전체,"화7~8(D236), 목7(D236)",3
04629-01,성공취업전략,조형래,자교,4,수2~3(N312),2
04115-01,자기개발과진로선택,조형래,자교,전체,목2~3(N318),2
05777-01,직무교육개론,허광영,자교,전체,"화2~3(M302), 목3(M302)",3
05777-02,직무교육개론,허광영,자교,전체,"월6(N319), 수4~5(N319)",3
06452-01,취업정보분석과취업전략수립,조재한,자교,전체,화7~9(N320),3
04116-01,취업준비와사회진출,임현선,자교,전체,화7~8(N211),2
06347-01,퍼스널브랜딩과성공취업,유희,자교,전체,"화2~3(N211), 목3(N211)",3
06566-01,핵심취업전략,조형래,자교,4,,1
06499-01,현장실습10,,자교,3,,3
06500-01,현장실습6,,자교,3,,3
06501-01,현장실습7,,자교,3,,3
06502-01,현장실습8,,자교,3,,3
06503-01,현장실습9,,자교,3,,3
06175-01,생애진로와커리어디자인,조형래,기교,1,,1
06313-01,기업가정신과기술창업,채지희,중핵,2,"수2~3(N410), 금1(N410)",3
06314-01,미래를여는소셜이노베이션,조영정,중핵,2,월1~3(V313),3
06767-01,사회혁신과체인지메이커,조영정,중핵,2,수1~3(D236),3
06489-01,현장실습1,,전선1,3,,3
06490-01,현장실습2,,전선1,3,,3
06491-01,현장실습3,,전선1,3,,3
06492-01,현장실습4,,전선1,3,,3
06493-01,현장실습5,,전선1,3,,3
03852-01,사이버스페이스의정보윤리,박헌우,중핵,전체,"화2~3(M414), 목3(M414)",3
03852-02,사이버스페이스의정보윤리,박헌우,중핵,전체,"화1(M414), 금1~2(M414)",3
03852-03,사이버스페이스의정보윤리,장재경,중핵,전체,화5~7(M414),3
06308-01,코딩과알고리즘,이지윤,중핵,전체,화1~4(D405),3
02922-01,컴퓨터와프로그래밍2,한미현,전기,전체,수5~8(D409),3
02922-02,컴퓨터와프로그래밍2,홍영진,전기,전체,금5~8(M306),3
02922-03,컴퓨터와프로그래밍2,장재경,전기,전체,화1~4(D409),3
02922-04,컴퓨터와프로그래밍2,양문자,전기,전체,수4~7(M304),3
04578-01,객체지향프로그래밍설계,양문자,전선1,2,수1~3(D404),3
04572-01,논리회로및설계,,전선1,2,"수6~7(D405), 월6~7(D405)",3
04572-02,논리회로및설계,한미현,전선1,2,수1~4(K360),3
04082-01,데이터마이닝,노상욱,전선1,4,"화4~5(B338), 목4(B338)",3
04575-01,데이터베이스설계,황병연,전선1,3,"화2~3(BA203), 목2~3(BA203)",3
04575-02,데이터베이스설계,황병연,전선1,3,"목7~8(N308), 화7~8(N308)",3
03144-01,문제해결기법,박정흠,전선1,2,"화2~3(D301), 목3(D301)",3
04571-01,시스템소프트웨어실습,김백현,전선1,2,월6~9(D409),3
04571-02,시스템소프트웨어실습,김백현,전선1,2,금7~10(D409),3
03157-01,오토마타,박정흠,전선1,3,"화6(N110), 목5~6(N110)",3
03903-01,웹프로그래밍,홍영진,전선1,2,금1~4(D404),3
03133-01,이산수학,남궁정일,전선1,2,월1~3(N412),3
03133-02,이산수학,남궁정일,전선1,2,화1~3(K107),3
05730-01,임베디드및모바일기술과비즈니스모델,서효중,전선1,4,"월6(V313), 수4~5(V313)",3
03267-01,자료구조기초,황병연,전선1,2,"월4~5(N312), 금5~6(N312)",3
03267-02,자료구조기초,,전선1,2,"월4~5(N317), 금5~6(N317)",3
05180-01,종합설계프로젝트2,서효중,전선1,4,"월4~5(V112), 금4(V112)",3
03151-02,컴퓨터구조,서효중,전선1,3,"월7(N406), 수6~7(N406)",3
03151-03,컴퓨터구조,김의찬,전선1,3,목4~6(V112),3
03187-01,컴퓨터네트워크,김유중,전선1,3,"월10(N208), 수9~10(N208)",3
06679-01,컴퓨터정보공학현장실습Ⅰ,,전선1,4,,3
06680-01,컴퓨터정보공학현장실습Ⅱ,,전선1,4,,3
06681-01,컴퓨터정보공학현장실습Ⅲ,,전선1,4,,3
06682-01,컴퓨터정보공학현장실습Ⅳ,,전선1,4,,3
06683-01,컴퓨터정보공학현장실습Ⅴ,,전선1,4,,3
03184-01,프로그래밍언어론,김의찬,전선1,3,목1~3(D409),3
03141-03,확률및통계,김유중,전선1,2,"화7~8(N409), 목7(N409)",3
03141-04,확률및통계,박헌우,전선1,2,"화6(N409), 목1~2(N409)",3
06877-01,예술·체육교과교육론,한송이,전선1,3,월10~12(M402),3
04834-01,장애학생통합교육론,김경선,전선1,1,목10~12(M413),3
06599-01,재활사례관리,김민,전선1,2,월6(M413),1
06602-01,재활의학,김시현,전선1,2,목6~8(N211),3
06600-01,재활정책론,김민,전선1,2,월7(M413),1
04286-01,재활행정및정책,우주형,전선1,3,수6~8(M413),3
02723-01,전환교육,이현주,전선1,2,"화5~6(M413), 목3(M413)",3
06047-01,정서·행동장애학생교육,이상훈,전선1,3,"월1(M413), 수1~2(M413)",3
06039-01,지적장애학생교육,박희찬,전선1,1,"월2(M413), 화1~2(M413)",3
05061-01,직업교육과재활연구,최국환,전선1,4,"화2~3(N321), 목3(N321)",3
04837-01,직업교육교과교재연구및지도법,"한세진, 김라경",전선1,3,화9~11(M413),3
06601-01,직업상담,김민,전선1,2,월8(M413),1
02721-01,직업재활상담,이상훈,전선1,2,"화1~2(M211), 목1(M211)",3
04839-01,직업평가,최국환,전선1,3,"월3(M413), 금1~2(M413)",3
06046-01,청각장애학생교육,이현주,전선1,4,"월5~7(N321), 수5~7(N321)",3
04052-01,특수교육과재활실습,이현주,전선1,1,"화7(M413), 목6~7(M413)",3
04287-01,특수교육재활공학,김창배,전선1,4,목5~7(N410),3
03365-01,프랑스어1,,자교,전체,"화1(K356), 목1~2(K356)",3
03366-01,프랑스어2,박우성,자교,전체,"화8(N219), 목8~9(N219)",3
05984-01,프랑스언어와문화입문,최윤주,전기,전체,"월7(N309), 수6~7(N309)",3
03339-01,프랑스어문법2,박우성,전필1,2,"화4~5(M212), 목4(M212)",3
03341-01,프랑스어연습,방미경,전필1,1,"월8(N112), 금5~6(N112)",3
05961-01,세계속의프랑코포니,파트릭 쥬레,전선1,4,"월7(N112), 수6~7(N112)",3
03340-01,시청각프랑스어2,파트릭 쥬레,전선1,2,"월6(K243), 수4~5(K243)",3
04521-01,프랑스문학과인간의이해,방미경,전선1,3,"화4~5(D234), 목4(D234)",3
05959-01,프랑스사회와일상,방미경,전선1,2,"월4~5(N414), 금4(N414)",3
03338-01,프랑스시와샹송,최윤주,전선1,2,"월8~9(N415), 수8(N415)",3
06960-01,프랑스어문화학현장실습Ⅰ,방미경,전선1,3,,3
06961-01,프랑스어문화학현장실습Ⅱ,방미경,전선1,3,,3
06962-01,프랑스어문화학현장실습Ⅲ,방미경,전선1,3,,3
06963-01,프랑스어문화학현장실습Ⅳ,방미경,전선1,3,,3
06964-01,프랑스어문화학현장실습Ⅴ,방미경,전선1,3,,3
03350-01,프랑스어작문2,파트릭 쥬레,전선1,3,"화7~8(N309), 목7(N309)",3
03351-01,프랑스어회화2,파트릭 쥬레,전선1,3,"화2~3(N320), 목3(N320)",3
03357-01,현대프랑스의이해,파트릭 쥬레,전선1,3,"화6(K258), 목5~6(K258)",3
06779-01,4차산업혁명시대리더십,김종문,자교,전체,월9~11(M410),3
06454-01,Self-making Job Portfolio 1,서한석,자교,전체,,1
06455-01,Self-making Job Portfolio 2,서한석,자교,전체,,1
06456-01,Self-making Job Portfolio 3,서한석,자교,전체,,1
06457-01,Self-making Job Portfolio 4,서한석,자교,전체,,1
06458-01,Self-making Job Portfolio 5,서한석,자교,전체,,1
06459-01,Self-making Job Portfolio 6,서한석,자교,전체,,1
03828-01,골프,이문진,자교,전체,수5~6(테니스장),2
06778-01,미·중갈등과한반도안보,김종문,자교,전체,금9~11(M302),3
06785-01,웨이트트레이닝,권석현,자교,전체,화2~3(헬스장),2
06785-02,웨이트트레이닝,권석현,자교,전체,목2~3(헬스장),2
03823-01,테니스(초급),이문진,자교,전체,수3~4(테니스장),2
06509-01,풋살,박승일,자교,전체,화6~7(체육관),2
06509-02,풋살,박승일,자교,전체,화8~9(체육관),2
06777-01,현대전쟁과군사이론,김종문,자교,전체,금2~3(M107),2
06280-01,그리스도교사상과문화,정태영,기교,2,월4~5(M407),2
06280-02,그리스도교사상과문화,박재득,기교,2,화4~5(M402),2
06280-03,그리스도교사상과문화,안수배,기교,2,화4~5(M403),2
06280-04,그리스도교사상과문화,임시백,기교,2,화6~7(M402),2
06280-05,그리스도교사상과문화,김윤욱,기교,2,화6~7(M403),2
06280-06,그리스도교사상과문화,임민균,기교,2,수6~7(K234),2
06280-07,그리스도교사상과문화,김윤욱,기교,2,수6~7(M403),2
06280-08,그리스도교사상과문화,임시백,기교,2,수6~7(M405),2
06280-09,그리스도교사상과문화,서한석,기교,2,목5~6(M402),2
06280-10,그리스도교사상과문화,손경락,기교,2,목5~6(M403),2
06280-11,그리스도교사상과문화,안수배,기교,2,목5~6(M405),2
06280-12,그리스도교사상과문화,김남희,기교,2,목5~6(M406),2
06280-13,그리스도교사상과문화,임시백,기교,2,목8~9(M402),2
06280-81,그리스도교사상과문화,신의선,기교,2,금3~4(M406),2
06280-82,그리스도교사상과문화,신의선,기교,2,금5~6(M402),2
06022-81,사랑나누기,최복희,기교,2,화8~9(M213),2
06022-A0,사랑나누기,임시백,기교,2,월2~3(M011),2
06022-B0,사랑나누기,이상민,기교,2,월4~5(M011),2
06022-C0,사랑나누기,백소연,기교,2,화2~3(M011),2
06022-D0,사랑나누기,조윤아,기교,2,수6~7(M011),2
06022-E0,사랑나누기,곽내진,기교,2,수8~9(M011),2
06022-F0,사랑나누기,정은기,기교,2,목2~3(M011),2
06022-G0,사랑나누기,최선경,기교,2,목5~6(M011),2
06022-H0,사랑나누기,곽내진,기교,2,금3~4(M011),2
06022-I0,사랑나누기,김윤욱,기교,2,금5~6(N320),2
00732-81,인간학1,최복희,기교,1,수4~5(M213),2
00732-82,인간학1,최복희,기교,1,수6~7(M213),2
00732-83,인간학1,최복희,기교,1,목8~9(M213),2
01673-02,인간학2,최선경,기교,1,월2~3(M402),2
01673-03,인간학2,이원봉,기교,1,월2~3(M403),2
01673-04,인간학2,,기교,1,월2~3(M405),2
01673-05,인간학2,최선경,기교,1,월4~5(M402),2
01673-06,인간학2,이원봉,기교,1,월4~5(M403),2
01673-07,인간학2,정은기,기교,1,월4~5(M405),2
01673-08,인간학2,,기교,1,월4~5(M406),2
01673-09,인간학2,김남희,기교,1,화2~3(M402),2
01673-10,인간학2,김윤욱,기교,1,화2~3(M403),2
01673-11,인간학2,정은기,기교,1,화2~3(M405),2
01673-12,인간학2,임시백,기교,1,화2~3(M406),2
01673-13,인간학2,김남희,기교,1,화8~9(M402),2
01673-14,인간학2,조윤아,기교,1,화8~9(M403),2
01673-15,인간학2,곽내진,기교,1,화8~9(M405),2
01673-16,인간학2,손경락,기교,1,수2~3(M402),2
01673-17,인간학2,김윤욱,기교,1,수2~3(M403),2
01673-18,인간학2,,기교,1,수2~3(M405),2
01673-19,인간학2,,기교,1,수2~3(M406),2
01673-20,인간학2,손경락,기교,1,수4~5(M402),2
01673-21,인간학2,,기교,1,수4~5(M403),2
01673-22,인간학2,백소연,기교,1,수4~5(M405),2
01673-23,인간학2,임시백,기교,1,수4~5(M406),2
01673-24,인간학2,김남희,기교,1,목2~3(M402),2
01673-25,인간학2,김윤욱,기교,1,목2~3(M403),2
01673-26,인간학2,,기교,1,목2~3(M405),2
01673-27,인간학2,임시백,기교,1,목2~3(M406),2
01673-28,인간학2,손경락,기교,1,금3~4(M402),2
01673-29,인간학2,김남희,기교,1,금3~4(M403),2
01673-30,인간학2,김윤욱,기교,1,금3~4(M405),2
01673-81,인간학2,신의선,기교,1,수8~9(M402),2
01673-82,인간학2,최복희,기교,1,수8~9(M403),2
06447-01,키스톤디자인·인문창의,하병학,기교,1,월4~5(M410),2
06447-81,키스톤디자인·인문창의,신의선,기교,1,수2~3(M411),2
06447-82,키스톤디자인·인문창의,신의선,기교,1,수4~5(M411),2
06447-83,키스톤디자인·인문창의,신의선,기교,1,목8~9(M411),2
06169-01,키스톤디자인ㆍ창의설계,하병학,기교,1,화2~3(M407),2
06169-02,키스톤디자인ㆍ창의설계,하병학,기교,1,화8~9(M407),2
06169-03,키스톤디자인ㆍ창의설계,하병학,기교,1,수2~3(M407),2
06169-04,키스톤디자인ㆍ창의설계,하병학,기교,1,목5~6(M407),2
06169-31,키스톤디자인ㆍ창의설계,조윤아,기교,1,월2~3(M406),2
06169-32,키스톤디자인ㆍ창의설계,조윤아,기교,1,월2~3(),2
06169-41,키스톤디자인ㆍ창의설계,정은기,기교,1,월2~3(M407),2
06169-42,키스톤디자인ㆍ창의설계,정은기,기교,1,월2~3(),2
06169-51,키스톤디자인ㆍ창의설계,백소연,기교,1,월2~3(M410),2
06169-52,키스톤디자인ㆍ창의설계,백소연,기교,1,월2~3(),2
06169-81,키스톤디자인ㆍ창의설계,최복희,기교,1,화4~5(M405),2
06169-82,키스톤디자인ㆍ창의설계,최복희,기교,1,목5~6(M410),2
06169-A1,키스톤디자인ㆍ창의설계,곽내진,기교,1,월2~3(M212),2
06169-A2,키스톤디자인ㆍ창의설계,곽내진,기교,1,월2~3(),2
06169-B1,키스톤디자인ㆍ창의설계,장서란,기교,1,월2~3(N112),2
06169-B2,키스톤디자인ㆍ창의설계,장서란,기교,1,월2~3(),2
06169-C1,키스톤디자인ㆍ창의설계,방담이,기교,1,월4~5(N112),2
06169-C2,키스톤디자인ㆍ창의설계,방담이,기교,1,월4~5(),2
06169-D1,키스톤디자인ㆍ창의설계,조윤아,기교,1,월4~5(M305),2
06169-D2,키스톤디자인ㆍ창의설계,조윤아,기교,1,월4~5(),2
06169-E1,키스톤디자인ㆍ창의설계,장서란,기교,1,월4~5(M302),2
06169-E2,키스톤디자인ㆍ창의설계,장서란,기교,1,월4~5(),2
06169-F1,키스톤디자인ㆍ창의설계,최선경,기교,1,화2~3(M410),2
06169-F2,키스톤디자인ㆍ창의설계,최선경,기교,1,화2~3(),2
06169-G1,키스톤디자인ㆍ창의설계,곽내진,기교,1,화2~3(M305),2
06169-G2,키스톤디자인ㆍ창의설계,곽내진,기교,1,화2~3(),2
06169-H1,키스톤디자인ㆍ창의설계,이원봉,기교,1,화8~9(M406),2
06169-H2,키스톤디자인ㆍ창의설계,이원봉,기교,1,화8~9(),2
06169-I1,키스톤디자인ㆍ창의설계,정은기,기교,1,화8~9(M410),2
06169-I2,키스톤디자인ㆍ창의설계,정은기,기교,1,화8~9(),2
06169-J1,키스톤디자인ㆍ창의설계,방담이,기교,1,수2~3(M410),2
06169-J2,키스톤디자인ㆍ창의설계,방담이,기교,1,수2~3(),2
06169-K1,키스톤디자인ㆍ창의설계,조윤아,기교,1,수2~3(M305),2
06169-K2,키스톤디자인ㆍ창의설계,조윤아,기교,1,수2~3(),2
06169-L1,키스톤디자인ㆍ창의설계,백소연,기교,1,수2~3(M302),2
06169-L2,키스톤디자인ㆍ창의설계,백소연,기교,1,수2~3(),2
06169-M1,키스톤디자인ㆍ창의설계,최선경,기교,1,수4~5(M407),2
06169-M2,키스톤디자인ㆍ창의설계,최선경,기교,1,수4~5(),2
06169-N1,키스톤디자인ㆍ창의설계,이원봉,기교,1,수4~5(M410),2
06169-N2,키스톤디자인ㆍ창의설계,이원봉,기교,1,수4~5(),2
06169-O1,키스톤디자인ㆍ창의설계,정은기,기교,1,수4~5(M305),2
06169-O2,키스톤디자인ㆍ창의설계,정은기,기교,1,수4~5(),2
06169-P1,키스톤디자인ㆍ창의설계,곽내진,기교,1,수4~5(M302),2
06169-P2,키스톤디자인ㆍ창의설계,곽내진,기교,1,수4~5(),2
06169-Q1,키스톤디자인ㆍ창의설계,최선경,기교,1,수8~9(M405),2
06169-Q2,키스톤디자인ㆍ창의설계,최선경,기교,1,수8~9(),2
06169-R1,키스톤디자인ㆍ창의설계,방담이,기교,1,수8~9(M406),2
06169-R2,키스톤디자인ㆍ창의설계,방담이,기교,1,수8~9(),2
06169-S1,키스톤디자인ㆍ창의설계,이원봉,기교,1,수8~9(M407),2
06169-S2,키스톤디자인ㆍ창의설계,이원봉,기교,1,수8~9(),2
06169-T1,키스톤디자인ㆍ창의설계,최선경,기교,1,목2~3(M407),2
06169-T2,키스톤디자인ㆍ창의설계,최선경,기교,1,목2~3(),2
06169-U1,키스톤디자인ㆍ창의설계,백소연,기교,1,목2~3(M410),2
06169-U2,키스톤디자인ㆍ창의설계,백소연,기교,1,목2~3(),2
06169-V1,키스톤디자인ㆍ창의설계,조윤아,기교,1,목5~6(M212),2
06169-V2,키스톤디자인ㆍ창의설계,조윤아,기교,1,목5~6(),2
06169-W1,키스톤디자인ㆍ창의설계,정은기,기교,1,목5~6(M302),2
06169-W2,키스톤디자인ㆍ창의설계,정은기,기교,1,목5~6(),2
06169-X1,키스톤디자인ㆍ창의설계,백소연,기교,1,목5~6(M305),2
06169-X2,키스톤디자인ㆍ창의설계,백소연,기교,1,목5~6(),2
06169-Y1,키스톤디자인ㆍ창의설계,이원봉,기교,1,금3~4(M407),2
06169-Y2,키스톤디자인ㆍ창의설계,이원봉,기교,1,금3~4(),2
06169-Z1,키스톤디자인ㆍ창의설계,곽내진,기교,1,금5~6(M403),2
06169-Z2,키스톤디자인ㆍ창의설계,곽내진,기교,1,금5~6(),2
06822-01,Critical Reading Across the Disciplines,이진석,중핵,전체,"수4~5(M301), 금4(M301)",3
06795-01,Global Business and Legal Issues,이지나,중핵,전체,"목4(N308), 화4~5(N308)",3
06795-02,Global Business and Legal Issues,이지나,중핵,전체,"수5~6(N405), 월7(N405)",3
06820-01,Law and Neuroscience,이지나,중핵,1,"화7(M301), 목6~7(M301)",3
06789-01,Pronouncing English Like a Native Speaker,이진석,중핵,전체,"화1(N308), 목1~2(N308)",3
06821-01,Understanding K-Contents in Glocal Context,이진석,중핵,1,"화6(N308), 목5~6(N308)",3
06821-02,Understanding K-Contents in Glocal Context,이진석,중핵,1,"화9(N213), 목8~9(N213)",3
06328-01,과학기술시대의삶,김강배,중핵,전체,금2~4(N406),3
06783-01,데이터분석을위한R프로그래밍입문,최지인,중핵,전체,금2~4(M307),3
06297-01,디지털필름메이킹,이다혜,중핵,전체,화2~4(V112),3
06301-01,물질중독과인간행동,,중핵,전체,화5~7(N312),3
06504-01,바이러스전쟁,박미숙,중핵,전체,목5~7(N318),3
06302-01,발명과특허,노재일,중핵,전체,수6~8(N308),3
06784-01,빅데이터이해와활용,한영수,중핵,전체,목7~9(V111),3
06505-01,사용자경험디자인,기수아,중핵,전체,월7~9(N318),3
06303-01,시각예술여행,구계숙,중핵,전체,목6~8(V204),3
06324-01,우연의과학:통계학,안상선,중핵,전체,수7~9(N113),3
06304-01,윤리적AI로봇,정덕환,중핵,전체,목2~4(N411),3
06326-01,천문학의세계,지웅배,중핵,전체,금6~8(N405),3
06282-01,국방방호학,홍석수,자교,4,"화1~3(M107), 금6~8(M107)",3
06168-01,조직관리학,양동휘,자교,3,"월1~3(M107), 금6~8(M106)",3
06497-01,대학생활을위한한국어1,이미정,자교,전체,"화2~3(K257), 목3(K257)",3
06497-02,대학생활을위한한국어1,이미정,자교,전체,"화6(K257), 목5~6(K257)",3
06498-01,대학생활을위한한국어2,최재현,자교,전체,"화6(K269), 목5~6(N317)",3
06498-02,대학생활을위한한국어2,최재현,자교,전체,"화7~8(K262), 목7(N219)",3
06067-01,한국어매체읽기,정효민,중핵,전체,"월2~3(K257), 금3(K257)",3
06067-02,한국어매체읽기,정효민,중핵,전체,"월4~5(N219), 금4(N219)",3
06068-01,한국어의사소통기술,백윤진,중핵,전체,"월6(K257), 수4~5(K257)",3
06068-02,한국어의사소통기술,백윤진,중핵,전체,"월7(V313), 수6~7(V313)",3
06069-01,한국어학술작문,박혜란,중핵,전체,"화2~3(V313), 목3(V313)",3
06069-02,한국어학술작문,박혜란,중핵,전체,"화4~5(K106), 목4(K106)",3
06069-03,한국어학술작문,,중핵,전체,월1~3(N219),3
06069-04,한국어학술작문,권종분,중핵,전체,"금4(V204), 월4~5(V204)",3
06069-05,한국어학술작문,권종분,중핵,전체,"월8(V112), 금5~6(V112)",3
06250-01,전공입문한국어1,박지연,전기,전체,"월2~3(V112), 금3(V112)",3
06250-02,전공입문한국어1,박지연,전기,전체,"월4~5(V313), 금4(V313)",3
06250-03,전공입문한국어1,안혜진,전기,전체,"화2~3(D303), 목3(D303)",3
06250-04,전공입문한국어1,안혜진,전기,전체,"화4~5(K257), 목4(K257)",3
06250-05,전공입문한국어1,안혜진,전기,전체,"화6(K106), 목5~6(K260)",3
06251-01,전공입문한국어2,이효진,전기,전체,"월4~5(M211), 금4(M211)",3
06251-02,전공입문한국어2,이효진,전기,전체,"월2~3(M211), 금3(M211)",3
06251-03,전공입문한국어2,이수연,전기,전체,"화4~5(N219), 목4(N219)",3
06251-04,전공입문한국어2,박소연,전기,전체,"화2~3(N318), 목3(N307)",3
06251-05,전공입문한국어2,김원경,전기,전체,"화7(M407), 목7~8(M407)",3
06341-01,한국어교재,김원경,전선1,3,화8~10(N319),3
06141-01,한국어문법교육,명정희,전선1,3,월7~9(K254),3
06558-01,한국어발음교육,구민지,전선1,4,목8~10(K247),3
06142-01,한국어어휘교육,이수연,전선1,2,수7~9(K247),3
05889-01,공직사회에대한이해,주성돈,자교,전체,목5~7(V212),3
02187-01,행정학개론,김성찬,전기,전체,"월7(M410), 수6~7(M410)",3
03790-01,계량행정론,표선영,전선1,2,"월5(K338), 수4~5(K338)",3
01959-01,공기업론,박석희,전선1,2,"월8~9(M211), 수8(M211)",3
06370-01,과학기술정보정책,이선영,전선1,4,금5~7(N119),3
06149-01,문화정책,박광국,전선1,4,"화2~3(N113), 목3(N113)",3
06157-01,미디어정책,신현기,전선1,3,"화4~5(N307), 목4(N307)",3
03441-01,비교정부와정책,이종원,전선1,4,"화2~3(N415), 목3(N415)",3
06371-01,재난관리행정,표선영,전선1,4,"월3~4(N119), 수3(N119)",3
01951-01,재무행정론,김성찬,전선1,2,"화7~8(N113), 목7(N113)",3
04658-01,전략적기획론,신현기,전선1,3,"화7~8(K247), 목7(K247)",3
03261-01,정부와비정부기구,채원호,전선1,4,"월7(K246), 수6~7(K246)",3
05989-01,정책사례분석,이종원,전선1,3,"화6(N309), 목5~6(N309)",3
01939-01,정책학개론,박석희,전선1,2,"월6(N307), 수4~5(N307)",3
01954-01,지방행정론,채원호,전선1,3,"월6(N415), 수4~5(N415)",3
06155-01,행정과거시경제,김성찬,전선1,1,"화6(M410), 목8~9(M410)",3
03792-01,행정법2,김명수,전선1,2,수8~10(V204),3
05314-01,행정학캡스톤디자인,"표선영, 임현선",전선1,3,"월2(K244), 수1~2(K244)",3
06632-01,행정학현장실습Ⅰ,임현선,전선1,3,,3
06633-01,행정학현장실습Ⅱ,임현선,전선1,3,,3
06634-01,행정학현장실습Ⅲ,임현선,전선1,3,,3
06635-01,행정학현장실습Ⅳ,임현선,전선1,3,,3
06636-01,행정학현장실습Ⅴ,임현선,전선1,3,,3
03437-01,행정행태론,박광국,전선1,2,"월7(M407), 수6~7(M407)",3
06395-01,유기화학,강인남,전기,전체,"월8(M414), 금7~8(M414)",3
00765-01,일반화학및실험2,신유주,전기,전체,"화1~2(D601), 화3(M411), 목2~3(M411)",3
00765-02,일반화학및실험2,이상민,전기,전체,"월8~9(M411), 금7(M411), 금8~9(D601)",3
00765-03,일반화학및실험2,김중한,전기,전체,"월6~7(M411), 수5~6(D601), 수7(M411)",3
00765-04,일반화학및실험2,한동훈,전기,전체,"화2~3(M301), 목1~2(D601), 목3(M301)",3
03376-01,무기화학실험,신유주,전필1,3,수8~11(D608),2
03383-01,물리화학1,이종현,전필1,2,"월4~5(D301), 금4(D301)",3
03373-01,유기화학실험,이기연,전필1,2,화9~12(D606),2
00102-01,고분자화학,강인남,전선1,3,"금4(B351), 월4~5(B351)",3
06125-01,기기분석1,한동훈,전선1,3,"수4~5(N212), 월6(N212)",3
03386-01,무기화학2,신유주,전선1,3,"화6(N319), 목6~7(N319)",3
00267-01,물리화학3,김중한,전선1,3,"월8(K107), 금5~6(K107)",3
04560-01,반응속도론,이종현,전선1,4,"월7(D236), 수6~7(D236)",3
00440-01,생화학2,이상민,전선1,3,"화2~3(V111), 목3(V111)",3
05669-01,소재화학연구2,"이종현, 이상민, 김중한, 이기연, 한동훈",전선1,4,"목11~12(D301), 금11~12(D301)",2
05067-01,유기합성,이기연,전선1,3,"월7(K360), 수6~7(K360)",3
03381-01,유기화학2,이기연,전선1,2,"화7~8(V321), 목7(V321)",3
00669-01,유기화학4,강인남,전선1,4,"화6(NP105), 목5~6(NP105)",3
05670-01,전자재료화학,신유주,전선1,4,"수2~3(K246), 금3(K246)",3
01179-01,회계학원론,이세용,전기,전체,"월7(N110), 수6~7(N110)",3
01179-02,회계학원론,김범준,전기,전체,"월7(N209), 수6~7(N209)",3
01179-03,회계학원론,서동수,전기,전체,수1~3(N209),3
00111-01,관리회계,김범준,전필1,3,"월2~3(M414), 금3(M414)",3
00111-02,관리회계,이지연,전필1,3,목1~3(N213),3
00910-01,중급회계1,이세용,전필1,2,"화7~8(N412), 목7(N412)",3
00910-02,중급회계1,안성윤,전필1,2,"화1(N406), 목1~2(N406)",3
07047-01,AI와회계데이터분석,안성윤,전선1,4,"월2~3(N318), 금3(N318)",3
00097-01,고급회계,박희우,전선1,3,"월8~9(N405), 수8(N405)",3
06880-01,글로벌재무회계,오현진,전선1,2,"수2~3(N409), 금3(N409)",3
04537-01,금융상품회계,안성윤,전선1,2,"화2~3(V321), 목3(V321)",3
04537-02,금융상품회계,강소현,전선1,2,화6~8(N318),3
04652-01,법인세법,박희우,전선1,3,"월7(N412), 수6~7(N412)",3
06200-01,세무회계연습,박경득,전선1,3,금7~9(N411),3
05910-01,소득세법,박경득,전선1,2,금4~6(N208),3
